When,Who,Comment,About,Media,What,Whom,Reference_ID
2021-07-23,@suss_sg,"#SUSSLifelongLearning: SUSS degree programmes 📚 are now offered to selected and qualified inmates at the Prison School with financial assistance provided for by the YRF-SFCCA STAR Bursary, which has supported 11 inmates thus far this year.👏 

Learn more: https://t.co/XkhFBeWCZ9",https://t.co/XkhFBeWCZ9,text,['#SUSSLifelongLearning'],[],https://twitter.com/suss_sg/status/1418559022203084802
2021-07-19,@suss_sg,Come discover how SUSS’ flexible and dynamic education 📚 empowers you to personalise your learning journey through our multiple pathways and expand your skills set to fulfil your aspirations. Learn more at our e-Open House on 28 Aug &amp; 4 Sep 2021: https://t.co/SRIsxVR50k https://t.co/lSK4oAAFiK,https://t.co/SRIsxVR50k,photo,[],[],https://twitter.com/suss_sg/status/1417075750017150981
2021-07-16,@suss_sg,"STARTUP STORY: From running an e-commerce business selling quirky products in the Southeast Asian region to a Software-As-a-Service (SaaS) startup 🛍️, Combinesell, this is the entrepreneurship journey of SUSS Supply Chain Management student, Amanda Ho: https://t.co/zL6eZr0Y3T https://t.co/Lmw3ww0o24",https://t.co/zL6eZr0Y3T,photo,[],[],https://twitter.com/suss_sg/status/1416021807090577415
2021-07-16,@suss_sg,"#SUSSSocialImpact: As #AI 🤖 is set to transform industries and businesses, how can we better address the risk of biases and inequalities that it similarly brings 🧑🏽‍🤝‍🧑🏽? Learn more: https://t.co/jmqNWN6GJL",https://t.co/jmqNWN6GJL,text,"['#SUSSSocialImpact', '#AI']",[],https://twitter.com/suss_sg/status/1416015258913751042
2021-07-13,@suss_sg,#SUSSSocialSciencesBlog: Discover insights into youth #entrepreneurship in Singapore with three young SUSS student entrepreneurs 👔 who have made waves in the society 🌊 with their very own startups. Read more: https://t.co/KJwh0ComXq,https://t.co/KJwh0ComXq,text,"['#SUSSSocialSciencesBlog', '#entrepreneurship']",[],https://twitter.com/suss_sg/status/1414922561515892736
2021-07-12,@suss_sg,"#SUSSSocialImpact: As the #pandemic compounds issues we face today, let us take time to pause and look after those in need, in particular the elderly, around us 👀🙋. Learn more: https://t.co/pWVlhwntD2",https://t.co/pWVlhwntD2,text,"['#SUSSSocialImpact', '#pandemic']",[],https://twitter.com/suss_sg/status/1414517640157085697
2021-07-09,@suss_sg,"#SUSSLifelongLearning: As we enter a prolonged stretch of working from home 💨 without quality time off work (and vacation 🌏), how do we find sufficient rest and keep our wellbeing in check ❤️? Learn more: https://t.co/tvB6FU46ta",https://t.co/tvB6FU46ta,text,['#SUSSLifelongLearning'],[],https://twitter.com/suss_sg/status/1413433496500989953
2021-07-07,@suss_sg,"Arshad Supa’at’ had to quit school and work to support his family once. Today, he has overcome numerous challenges and is a social work undergraduate at SUSS, with the belief that education is a good social leveller 📚. https://t.co/LCvCpcm70V

(Note: This article is in Malay)",https://t.co/LCvCpcm70V,text,[],[],https://twitter.com/suss_sg/status/1412739926668500994
2021-07-02,@suss_sg,#SUSSAppliedLearning: This year’s SUSS Brand Challenge briefing session saw yet another round of overwhelming responses from all five local polytechnics in Singapore! 👏🏻  Read more: https://t.co/LZsypnE0jN https://t.co/QV7XYuH8VQ,https://t.co/LZsypnE0jN,photo,['#SUSSAppliedLearning'],[],https://twitter.com/suss_sg/status/1410924216363388933
2021-07-02,@suss_sg,"#SUSSSocialImpact: 🎉Congratulations, SUSS' Centre for University Core (CUC), for clinching a grant of US$850,000 from the Henry Luce Foundation's initiative on Southeast Asia (LuceSEA) for a collaborative project on urban life in SEA cities! 👏 
https://t.co/V4aZamMWjy https://t.co/iDCCiKy7k6",https://t.co/V4aZamMWjy,photo,['#SUSSSocialImpact'],[],https://twitter.com/suss_sg/status/1410897040293437446
2021-07-01,@suss_sg,"#SUSSSocialImpact: Showing compassion and empathy 🤞 to the elderly goes a long way in fighting #ageism 🧓👵👴. Learn more from Sng Hock Lin, SUSS PhD student in #gerontology, on how we can adapt and make changes as an inclusive society 🔆❤️: https://t.co/m73XCz5Hks",https://t.co/m73XCz5Hks,text,"['#SUSSSocialImpact', '#ageism', '#gerontology']",[],https://twitter.com/suss_sg/status/1410529865711898626
2021-06-25,@suss_sg,"#SUSSSustainability: What are the three incorrect assumptions about climate change? A/P Koh Tieh Yong from SUSS Centre for University Core addresses these issues with Karen Cheah, Founder and CEO of AlterPacks: https://t.co/DtjRrIzPTK",https://t.co/DtjRrIzPTK,text,['#SUSSSustainability'],[],https://twitter.com/suss_sg/status/1408411651238371337
2021-06-23,@suss_sg,"📱 Calling all mobile app developers! @Huawei has officially launched AppsUP 2021 APAC! If you have an existing app, or a great idea for a new app 💡, register now and stand to win US$200,000 in cash! : https://t.co/iLd8Pb21pF 

SUSS is an AppsUP Academic Partner. https://t.co/x0GnGi7wnF",https://t.co/iLd8Pb21pF,photo,[],['@Huawei'],https://twitter.com/suss_sg/status/1407633784195932160
2021-06-18,@suss_sg,"#SUSSSocialImpact: As our society grows with more ageing singles 🧓👴, there is a need to expand communal spaces to counter social isolation in old age, shares Dr Ko Pei-Chun from SUSS Centre for University Core. Learn more: https://t.co/DT8H0TUGkj",https://t.co/DT8H0TUGkj,text,['#SUSSSocialImpact'],[],https://twitter.com/suss_sg/status/1405822597594550273
2021-06-17,@suss_sg,"#HeartOfSUSS: Through his community service-learning project, SUSS student, Nigel Tan, gets to connect with nature and contribute to local biodiversity conservation and awareness efforts. Watch the video to learn how he is helping to save the environment, one mangrove at a time! https://t.co/ucLhDmyJ6m",https://video.twimg.com/ext_tw_video/1405487137177358337/pu/vid/540x540/JTQV7FJh-Q0Z3kjO.mp4?tag=12,video,['#HeartOfSUSS'],[],https://twitter.com/suss_sg/status/1405487171071512579
2021-06-17,@suss_sg,"#SUSSSocialImpact: There are more ways than one to look at those around us. How can we reset our thinking and confront biases that we are all guilty of towards others 👥? Dr Emily Ortega, SUSS Head of Psychology programme, offers to begin with ourselves: https://t.co/YX030SBLqR",https://t.co/YX030SBLqR,text,['#SUSSSocialImpact'],[],https://twitter.com/suss_sg/status/1405481852387876864
2021-06-15,@suss_sg,"SUSS will welcome Mrs Mildred Tan as our new Chairman of the SUSS Board of Trustees, while our current Chairman, Mr Richard Eu, will assume the role of Pro-Chancellor from 1 July 2021!

Read more: https://t.co/r7x1zZkuMQ https://t.co/zSU6uxlgm5",https://t.co/r7x1zZkuMQ,photo,[],[],https://twitter.com/suss_sg/status/1404668749358186500
